"用户ID","性别","年级","每月可支配生活费","每周游玩天数","每日游玩时长","常用位置","氪金意愿","游戏段位"
"1","男","大一","1500","5","3.5","中单","不愿意","青铜白银"
"2","男","大二","1800","6","4.2","打野","偶尔小额","黄金铂金"
"3","女","大一","1600","3","1.5","辅助","不愿意","青铜白银"
"4","男","大三","2200","7","5.0","上单","愿意皮肤","钻石及以上"
"5","女","大二","2000","4","2.0","下路ADC","偶尔小额","黄金铂金"
"6","男","大一","1400","4","2.8","中单","不愿意","黄金铂金"
"7","男","大四","2500","5","3.0","打野","愿意皮肤","钻石及以上"
"8","女","大三","1900","3","1.2","辅助","不愿意","青铜白银"
"9","男","大二","1700","6","3.8","上单","偶尔小额","黄金铂金"
"10","女","大四","2300","2","1.0","下路ADC","不愿意","钻石及以上"
"11","男","大三","2100","5","4.5","中单","愿意皮肤","钻石及以上"
"12","男","大一","1300","4","2.5","打野","不愿意","青铜白银"
"13","女","大二","1850","3","1.8","辅助","偶尔小额","黄金铂金"
"14","男","大四","2600","6","3.2","上单","愿意皮肤","钻石及以上"
"15","女","大一","1550","2","1.3","下路ADC","不愿意","青铜白银"
